,Tên kho,Mã hàng,Tên hàng,ĐVT,Nhóm VTHH,Đơn giá cố định
,Hàng hóa,Y101072563,Nước yến BRAND'S có đường 42ml 6x8x48,Lốc 6,DKSH," 378,893 "
,Hàng hóa,Y101072565,Nước yến BRAND'S có đường 70ml 6x8x48,Lốc 6,DKSH," 576,576 "
,Hàng hóa,Y101072567,Nước yến BRAND'S k đường 42ml,Lốc 6,DKSH," 378,893 "
,Hàng hóa,Y101072569,Nước yến BRAND'S k đường 70ml,Lốc 6,DKSH," 576,576 "
,Hàng hóa,Y101106269,Bộ 2 Nước cốt gà BRAND'S 42mlx6,Bộ,DKSH," 136,620 "
,Hàng hóa,Y101106340,Bộ 2 nước cốt gà BRAND'S 70mlx6,Bộ,DKSH," 207,900 "
,Hàng hóa,Y101106342,Nuoc cot ga Brand's Choco 70ml,Lốc 6,DKSH," 182,952 "
,Hàng hóa,YM180C,Sữa Yomost Cam 180mlx48h,Thùng,SI, 0 
,Hàng hóa,YM180D,Sữa Yomost Dâu 180mlx48h,Thùng,SI," 265,000 "
,Hàng hóa,Z100363564,Zonrox Tẩy Xanh lá-Chanh 1L,Chai,DKSH," 12,615 "
,Hàng hóa,Z100363565,Zonrox Tẩy Hồng-Hoa cỏ 1L,Chai,DKSH," 12,615 "
,Hàng hóa,Z100363566,Zonrox Tẩy Xanh Dương-Thiên nhiên 1L,Chai,DKSH," 12,615 "
,Hàng hóa,Z101099386,Aptamil 2-900g,Lon,DKSH," 587,617 "
